No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Google Fonts URL,CSS Import,Tailwind Config,Notes
1,Inter + Inter,Sans-Sans,Inter,Inter,"Clean, modern, professional, neutral, versatile","SaaS, dashboards, enterprise, web apps, documentation",https://fonts.google.com/share?selection.family=Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Inter', 'sans-serif'] }",Most versatile pairing. Excellent for data-heavy interfaces.
2,Poppins + Inter,Sans-Sans,Poppins,Inter,"Friendly, modern, geometric, approachable, clean","SaaS, startups, landing pages, marketing, B2B",https://fonts.google.com/share?selection.family=Poppins:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Poppins:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Poppins', 'sans-serif'], sans: ['Inter', 'sans-serif'] }","Poppins headings + Inter body. Geometric headings, clean body text."
3,DM Sans + DM Sans,Sans-Sans,DM Sans,DM Sans,"Clean, geometric, modern, minimal, professional","SaaS, dashboards, web apps, mobile apps",https://fonts.google.com/share?selection.family=DM+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=DM+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['DM Sans', 'sans-serif'] }",Excellent geometric sans-serif. Very clean and modern.
4,Outfit + Outfit,Sans-Sans,Outfit,Outfit,"Modern, clean, geometric, versatile","SaaS, startups, landing pages, mobile apps",https://fonts.google.com/share?selection.family=Outfit:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Outfit:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Outfit', 'sans-serif'] }",Modern geometric sans-serif. Great for both headings and body.
5,Space Grotesk + Inter,Sans-Sans,Space Grotesk,Inter,"Tech, modern, geometric, futuristic, clean","Developer tools, tech products, SaaS, AI platforms",https://fonts.google.com/share?selection.family=Space+Grotesk:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Space Grotesk headings for tech feel. Inter body for readability.
6,Sora + Inter,Sans-Sans,Sora,Inter,"Modern, futuristic, geometric, clean","AI platforms, tech products, SaaS, futuristic brands",https://fonts.google.com/share?selection.family=Sora:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Sora:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Sora', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Sora for futuristic headings. Great for AI/tech products.
7,Manrope + Manrope,Sans-Sans,Manrope,Manrope,"Geometric, clean, modern, professional","SaaS, dashboards, enterprise, mobile apps",https://fonts.google.com/share?selection.family=Manrope:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Manrope:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Manrope', 'sans-serif'] }",Excellent geometric sans-serif. Very clean and professional.
8,Plus Jakarta Sans + Plus Jakarta Sans,Sans-Sans,Plus Jakarta Sans,Plus Jakarta Sans,"Modern, geometric, clean, professional","SaaS, dashboards, landing pages, web apps",https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",Modern geometric. Great for SaaS and dashboards.
9,Cormorant Garamond + Montserrat,Serif-Sans,Cormorant Garamond,Montserrat,"Elegant, calming, sophisticated, luxury","Wellness, beauty, luxury, editorial, premium services",https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@400;500;600;700|Montserrat:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;500;600;700&family=Montserrat:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Cormorant Garamond', 'serif'], sans: ['Montserrat', 'sans-serif'] }",Elegant serif headings + clean sans body. Perfect for luxury brands.
10,Playfair Display + Lato,Serif-Sans,Playfair Display,Lato,"Elegant, classic, sophisticated, editorial","Editorial, luxury brands, fashion, premium services",https://fonts.google.com/share?selection.family=Playfair+Display:wght@400;500;600;700|Lato:wght@400;300;700,@import url('https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;500;600;700&family=Lato:wght@400;300;700&display=swap');,"fontFamily: { heading: ['Playfair Display', 'serif'], sans: ['Lato', 'sans-serif'] }",Classic serif headings + clean sans body. Elegant and timeless.
11,Merriweather + Open Sans,Serif-Sans,Merriweather,Open Sans,"Readable, trustworthy, classic, professional","News sites, blogs, documentation, legal, healthcare",https://fonts.google.com/share?selection.family=Merriweather:wght@400;700|Open+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Merriweather:wght@400;700&family=Open+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Merriweather', 'serif'], sans: ['Open Sans', 'sans-serif'] }",Highly readable serif + sans. Perfect for content-heavy sites.
12,Space Mono + Inter,Mono-Sans,Space Mono,Inter,"Tech, code, developer, monospace, futuristic","Developer tools, code editors, tech blogs, APIs",https://fonts.google.com/share?selection.family=Space+Mono:wght@400;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Space+Mono:wght@400;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { mono: ['Space Mono', 'monospace'], sans: ['Inter', 'sans-serif'] }",Monospace headings for tech feel. Great for developer tools.
13,JetBrains Mono + Inter,Mono-Sans,JetBrains Mono,Inter,"Code, technical, developer, monospace","Code editors, developer tools, technical documentation",https://fonts.google.com/share?selection.family=JetBrains+Mono:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { mono: ['JetBrains Mono', 'monospace'], sans: ['Inter', 'sans-serif'] }",Premium monospace for code. Excellent for developer tools.
14,Caveat + Inter,Cursive-Sans,Caveat,Inter,"Handwritten, playful, creative, personal","Portfolios, personal sites, creative projects, artistic",https://fonts.google.com/share?selection.family=Caveat:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Caveat:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Caveat', 'cursive'], sans: ['Inter', 'sans-serif'] }",Handwritten headings for creative personality. Use sparingly.
15,Fredoka + Nunito,Sans-Sans,Fredoka,Nunito,"Playful, friendly, rounded, fun","Children's apps, education, gaming, casual, entertainment",https://fonts.google.com/share?selection.family=Fredoka:wght@400;500;600;700|Nunito:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Fredoka', 'sans-serif'], sans: ['Nunito', 'sans-serif'] }",Rounded playful fonts. Perfect for children's and casual apps.
16,Rubik + Rubik,Sans-Sans,Rubik,Rubik,"Geometric, clean, modern, friendly","SaaS, mobile apps, dashboards, web apps",https://fonts.google.com/share?selection.family=Rubik:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Rubik:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Rubik', 'sans-serif'] }",Geometric rounded sans-serif. Great for mobile and web.
17,Work Sans + Work Sans,Sans-Sans,Work Sans,Work Sans,"Clean, professional, versatile, readable","Enterprise, SaaS, dashboards, web apps, documentation",https://fonts.google.com/share?selection.family=Work+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Work+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Work Sans', 'sans-serif'] }",Excellent workhorse font. Very readable and professional.
18,Bricolage Grotesque + Inter,Sans-Sans,Bricolage Grotesque,Inter,"Modern, bold, geometric, expressive","SaaS, startups, creative brands, landing pages",https://fonts.google.com/share?selection.family=Bricolage+Grotesque:wght@400;500;600;700|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bricolage+Grotesque:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bricolage Grotesque', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",Bold expressive headings. Great for modern startups.
19,Albert Sans + Albert Sans,Sans-Sans,Albert Sans,Albert Sans,"Clean, geometric, modern, friendly","SaaS, mobile apps, landing pages, web apps",https://fonts.google.com/share?selection.family=Albert+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Albert+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Albert Sans', 'sans-serif'] }",Clean geometric sans-serif. Very modern and friendly.
20,Clash Display + Satoshi,Sans-Sans,Clash Display,Satoshi,"Bold, modern, geometric, premium","Premium brands, luxury, creative agencies, portfolios",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=clash-display@400;500;600;700&f[]=satoshi@400;500;600;700&display=swap');,"fontFamily: { heading: ['Clash Display', 'sans-serif'], sans: ['Satoshi', 'sans-serif'] }",PREMIUM: Bold geometric headings + clean body. Maximum impact.
21,General Sans + General Sans,Sans-Sans,General Sans,General Sans,"Clean, versatile, modern, professional","SaaS, dashboards, web apps, mobile apps",Not on Google Fonts (use Fontshare),@import url('https://api.fontshare.com/v2/css?f[]=general-sans@400;500;600;700&display=swap');,"fontFamily: { sans: ['General Sans', 'sans-serif'] }",Clean and versatile from Fontshare. Great for modern apps.
22,Archivo + Archivo,Sans-Sans,Archivo,Archivo,"Geometric, clean, technical, modern","Tech products, dashboards, enterprise, documentation",https://fonts.google.com/share?selection.family=Archivo:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Archivo:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Archivo', 'sans-serif'] }",Geometric and technical. Great for data-heavy interfaces.
23,Barlow + Barlow,Sans-Sans,Barlow,Barlow,"Clean, condensed, modern, professional","Dashboards, data tables, enterprise, admin panels",https://fonts.google.com/share?selection.family=Barlow:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Barlow:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Barlow', 'sans-serif'] }",Condensed option available. Great for data-dense interfaces.
24,Cabin + Cabin,Sans-Sans,Cabin,Cabin,"Humanist, warm, friendly, readable","Blogs, educational sites, healthcare, non-profit",https://fonts.google.com/share?selection.family=Cabin:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Cabin:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Cabin', 'sans-serif'] }",Humanist sans-serif. Warm and friendly feel.
25,Quicksand + Quicksand,Sans-Sans,Quicksand,Quicksand,"Rounded, playful, friendly, modern","Education, children's apps, casual, wellness",https://fonts.google.com/share?selection.family=Quicksand:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Quicksand:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Quicksand', 'sans-serif'] }",Rounded geometric. Playful yet modern.
26,Raleway + Raleway,Sans-Sans,Raleway,Raleway,"Elegant, thin, modern, sophisticated","Fashion, luxury, editorial, creative agencies",https://fonts.google.com/share?selection.family=Raleway:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Raleway:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Raleway', 'sans-serif'] }",Elegant thin weights. Great for luxury and fashion.
27,Nunito Sans + Nunito Sans,Sans-Sans,Nunito Sans,Nunito Sans,"Rounded, friendly, clean, modern","Education, healthcare, SaaS, mobile apps",https://fonts.google.com/share?selection.family=Nunito+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Nunito+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Nunito Sans', 'sans-serif'] }",Rounded and friendly. Excellent readability.
28,Mulish + Mulish,Sans-Sans,Mulish,Mulish,"Clean, minimal, modern, professional","SaaS, dashboards, web apps, mobile apps",https://fonts.google.com/share?selection.family=Mulish:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Mulish:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Mulish', 'sans-serif'] }",Clean and minimal. Great for professional interfaces.
29,Red Hat Display + Red Hat Text,Sans-Sans,Red Hat Display,Red Hat Text,"Modern, geometric, technical, bold","Tech products, developer tools, SaaS, enterprise",https://fonts.google.com/share?selection.family=Red+Hat+Display:wght@400;500;600;700|Red+Hat+Text:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Red+Hat+Display:wght@400;500;600;700&family=Red+Hat+Text:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Red Hat Display', 'sans-serif'], sans: ['Red Hat Text', 'sans-serif'] }",Technical and modern. Great for tech brands.
30,Bitter + Source Sans 3,Serif-Sans,Bitter,Source Sans 3,"Readable, professional, classic, warm","News, blogs, documentation, legal, healthcare",https://fonts.google.com/share?selection.family=Bitter:wght@400;500;600;700|Source+Sans+3:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bitter:wght@400;500;600;700&family=Source+Sans+3:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bitter', 'serif'], sans: ['Source Sans 3', 'sans-serif'] }",Slab serif headings + clean sans body. Readable and warm.
31,Lora + Lora,Serif-Serif,Lora,Lora,"Elegant, classic, editorial, sophisticated","Editorial, luxury brands, fashion, premium content",https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Lora:wght@400;500;600;700&display=swap');,"fontFamily: { serif: ['Lora', 'serif'] }",Elegant serif for both headings and body. Classic and refined.
32,Libre Baskerville + Libre Baskerville,Serif-Serif,Libre Baskerville,Libre Baskerville,"Classic, readable, trustworthy, editorial","News sites, blogs, documentation, academic",https://fonts.google.com/share?selection.family=Libre+Baskerville:wght@400;700,@import url('https://fonts.googleapis.com/css2?family=Libre+Baskerville:wght@400;700&display=swap');,"fontFamily: { serif: ['Libre Baskerville', 'serif'] }",Classic Baskerville for digital. Highly readable.
33,Josefin Sans + Josefin Sans,Sans-Sans,Josefin Sans,Josefin Sans,"Geometric, vintage, elegant, unique","Fashion, creative agencies, portfolios, unique brands",https://fonts.google.com/share?selection.family=Josefin+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Josefin+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { sans: ['Josefin Sans', 'sans-serif'] }",Geometric with vintage feel. Unique and elegant.
34,Bebas Neue + Montserrat,Sans-Sans,Bebas Neue,Montserrat,"Bold, condensed, impactful, modern","Headlines, sports, gaming, action, bold brands",https://fonts.google.com/share?selection.family=Bebas+Neue|Montserrat:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Montserrat:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Bebas Neue', 'sans-serif'], sans: ['Montserrat', 'sans-serif'] }",ULTRA BOLD condensed headings. Maximum impact.
35,Oswald + Open Sans,Sans-Sans,Oswald,Open Sans,"Condensed, modern, professional, bold","News, sports, action, bold headlines",https://fonts.google.com/share?selection.family=Oswald:wght@400;500;600;700|Open+Sans:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Oswald:wght@400;500;600;700&family=Open+Sans:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Oswald', 'sans-serif'], sans: ['Open Sans', 'sans-serif'] }",Condensed headings for impact. Great for news and sports.
36,Anton + Inter,Sans-Sans,Anton,Inter,"Bold, impactful, attention-grabbing, modern","Headlines, marketing, bold statements, CTA",https://fonts.google.com/share?selection.family=Anton|Inter:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Anton&family=Inter:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Anton', 'sans-serif'], sans: ['Inter', 'sans-serif'] }",ULTRA BOLD for headlines. Maximum attention.
37,Righteous + Poppins,Sans-Sans,Righteous,Poppins,"Retro, playful, bold, unique","Gaming, entertainment, retro brands, creative",https://fonts.google.com/share?selection.family=Righteous|Poppins:wght@400;500;600;700,@import url('https://fonts.googleapis.com/css2?family=Righteous&family=Poppins:wght@400;500;600;700&display=swap');,"fontFamily: { heading: ['Righteous', 'sans-serif'], sans: ['Poppins', 'sans-serif'] }",Retro fun headings. Great for gaming and entertainment.
